OBJECTID,MXLOCATION,designvolt,status,description,type,Symbol,Shape__Length,GlobalID
226,KAW-MAT-A,110,COMMISSIONED,Kawerau - Matahina A,TRANSLINE,110 TRANSLINE,9905.21158643644,160e507f-ea5d-4a9b-9e28-6c0c65a648da
227,KPU-WKO-A,110,COMMISSIONED,Kopu - Waikino A,TRANSLINE,110 TRANSLINE,33561.3658577826,c32ef780-86e6-4454-8683-5e8184a2f321
228,NPK-RTR-A,110,COMMISSIONED,National Park - Retaruke A,TRANSLINE,110 TRANSLINE,10175.762568689,b50d8a2c-edab-426e-b5c8-8bb837bed043
229,OTA-WKM-A,220,COMMISSIONED,Otahuhu - Whakamaru A,TRANSLINE,220 TRANSLINE,190984.383208745,c37ad849-d55d-47c2-adc7-e786974094d1
230,OTA-WKM-B,220,COMMISSIONED,Otahuhu - Whakamaru B,TRANSLINE,220 TRANSLINE,191133.127840597,df8d7da5-edb4-48b8-bf28-523e252470b7
231,ROX-TWZ-A,220,COMMISSIONED,Roxburgh - Twizel A,TRANSLINE,220 TRANSLINE,175153.700431391,211ee7ad-3312-45f3-ab5a-a28d165f9355
1838,WRK-WKM-A,220,COMMISSIONED,Wairakei - Whakamaru A,TRANSLINE,220 TRANSLINE,56477.9383257334,99d27e98-8c30-401a-8cd0-2255a4064bb8
1840,JRD-TEE-A,110,COMMISSIONED,Junction Road - Tee A,TRANSLINE,110 TRANSLINE,358.810852978533,ad699768-e098-4807-9f19-52100b4a22e5
2298,OTA-WKM-A1-CBL,220,COMMISSIONED,OTA-WKM-A1 Cable,CABLE,220 CABLE,6844.02343988091,5435833e-9274-47b1-a05c-f593f786a23c
2299,OTA-WKM-B2-CBL,220,COMMISSIONED,OTA-WKM-B2 Cable,CABLE,220 CABLE,6813.560443472,61029c66-fa41-4b78-96c7-80764ddf845f
